book,chapter,verse,title,commentary
Ezra,1,2,Thus saith Cyrus,"An official formula for introducing a royal proclamation, similar to those used in other royal decrees. For example, the Behistun inscription (Aramaic version, col. iii, l. 37) reads, “Thus says king Darius.” King of Persia. Compare the ordinary formula in Persian inscriptions, “I am …, the great king, the king of kings, the king of Persia.” The Lord God of heaven. Exactly the same title is found in an Aramaic petition made by Jews of the Nile island of Elephantine to a Persian governor (Cowley, Aramaic Papyri, No. 30, lines 27, 28), while in the reply of the Persian official to the petitioners, only the words “God of heaven” are used (ibid., No. 32, lines 3, 4). Jewish monotheism may have appealed to Cyrus if he was a Zoroastrian; he may have equated Yahweh with his own god Ahura-Mazda. Hath given me. Cyrus felt that he was an appointee of heaven, and that as such he had a divine commission to fulfill. In the famous inscription on the clay barrel of Cyrus, now in the British Museum, the king says, “He [the Babylonian god Marduk] scanned and looked [through] all the countries, searching for a righteous ruler willing to lead him [in the annual procession]. He pronounced the name of Cyrus, king of Anshan, declaring 1 him to be the ruler of all the world.” These words, written for the Babylonians, are so similar to those used in the proclamation on behalf of the Jews that they, in combination with the other typical official terms used, constitute strong proof of the authenticity of the decree. The only difference consists in the names of the gods. In Babylonian proclamations the name of the Babylonian god Marduk was naturally used, while in one written for the Jews the name of their God was employed. He hath charged me. The word “he” is emphatic. This emphasis is also found in the ancient Greek and Latin translations of the text. Obviously, Cyrus makes reference to Isa. 44:28. Josephus (Antiquities xi. 1) claims that this passage was shown to Cyrus soon after Babylon’s fall, and it is only natural to consider Daniel as the one who informed the king concerning the predictions of Cyrus’ conquest of Babylonia and his part in the rebuilding of Jerusalem’s Temple (see PK 557). In the aforementioned clay barrel inscription Cyrus claims to have repatriated many foreign gods the Babylonians had transported to their capital, and rebuilt many sanctuaries that had been in ruins. In view of the fact that the authorization for the rebuilding of the Temple in Jerusalem came in the first year of his reign, it is probable that the wisdom of such a policy (see PK 571, 572) led Cyrus to do the same for other subject peoples and their gods. Thus the king’s action with respect to the Jews and their Temple was completely in agreement with what eventually became a general policy of pleasing the nations that had suffered at the cruel hands of the Babylonians, in order to gain their good will and loyal support as citizens of the new Persian Empire. House. Heb. bayith, “house,” used of either a human dwelling or of one devoted to God. Bayith may therefore appropriately be translated “temple” here. In Judah. That this phrase is added here, and again in the following verse, reflects the official character of the document, which would be expected to indicate the precise geographical location of the Temple to be rebuilt."
Ezra,1,3,Of all his people,"The permit to return was not limited to the exiles of Judah and Benjamin, the descendants of the subjects of the former kingdom of Judah taken captive by Nebuchadnezzar. It included all people who counted “the Lord God of heaven” (v. 2) as their God, particularly descendants of the ten tribes of the former northern kingdom of Israel, transplanted to various provinces of the Assyrian Empire in the 8th century B.C. According to 1 Chron. 9:3 members of at least some of the northern tribes were then living in Jerusalem. His God be with him. The kindness of Cyrus, praised by many classical authors (Aeschylus, Herodotus, Xenophon, Plutarch, Diodorus, Cicero, and others), is reflected in these words. Cyrus’ greatness lay in his tolerance of, and greatheartedness toward, subject peoples. The influence of Daniel and the Isaiah prediction concerning him no doubt had much to do with the formation of his imperial policies (see PK 557). He is the God. Commentators and Bible translators are divided in regard to the meaning of this clause and the one following it. Some have taken it to be an admission by Cyrus that Jehovah is the only true God, and have compared it to a similar confession by Nebuchadnezzar (Dan. 6:26). Others connect it with the following clause and read, “He is the God who is in Jerusalem.” This would make Cyrus consider Jehovah as merely a local deity. By treating “he is the God” as a parenthetical expression and translating ’asher as “which,” the thought is conveyed that the clause, “which is in Jerusalem” refers back to the word “temple.” The Hebrew, however, clearly reads, “he is the God which is in Jerusalem,” as do also the LXX, the Vulgate, and other ancient versions. If parentheses are to be used at all, they must enclose the entire statement as a unit. Furthermore, the word ’asher may be translated either “which” or “who,” as required by the context. It may be that, like Nebuchadnezzar (Dan. 2:47; 3:28; 4:37) and Darius (Dan. 6:26), Cyrus had come to recognize the true God (see PK 557); but the Hebrew text, at least as we have it today, does not permit the words of Ezra 1:3 to be construed as proof of this. A document has been found in which Cyrus, in addressing himself to the Babylonians, speaks of their god Marduk in precisely the same terms he here uses of the God of the Jews. However, see PK 557."
Ezra,1,4,Whosoever remaineth,"That is, Jews who chose to remain in exile (see PK 559). Those who were successfully established in business enterprises of one kind or another would be most likely to remain. It was only right that they should assist their returning brethren with large contributions. The freewill offering. Permission was granted the Jews to collect financial contributions from their heathen friends for the Temple to be built in Jerusalem. It is noteworthy that the public pronouncement of Cyrus’ decree contains this appeal to the citizens of the empire without mentioning the fact that Cyrus had made provision for the rebuilding of the Temple from public funds, as is stated in the copy of the decree deposited in the government archives at Ecbatana (see on ch. 6:2). The reason is obvious. Had the proclamation mentioned the royal subsidy, few people would have felt impressed to give to the enterprise themselves. Without knowing that the government was paying part of the cost, many heathen who were friendly disposed toward the Jews may have been more willing to make private contributions."
Ezra,1,5,Chief of the fathers,"These were the hereditary heads of families, whose authority was recognized (see on Ex. 3:16). Although the permit to return had been so worded as to include all believers in Jehovah, only the two tribes, Judah and Benjamin, are specifically mentioned. Members of other tribes, if any, must have been in the minority. Whose spirit God had raised. Only a comparative minority of the exiles returned. Even many of the clans of Judah and Benjamin chose to remain in the land of their adoption. Many had come to honor and wealth in Babylonia, as cuneiform records reveal, and were unwilling to forsake all they had acquired by hard labor through the years in exchange for an uncertain future in desolate Judea. It is for this reason that later on efforts were again made to lead back to Judea others who had remained behind in the initial return movement (see Ezra 7:7; Zech. 6:10). The first company willing to risk all for their country and for their God was composed of patriots and zealots; perhaps also of some who had nothing to lose by the move and who could only improve their lot by returning to their former homeland. Those who remained behind may have justified their decision by quoting Jeremiah’s admonition of more than half a century earlier, to build houses, plant fields, found families, and take an active interest in the welfare of their land of exile (Jer. 29:4–7). Those who declined to return to Palestine formed the nucleus of the strong and influential Jewish communities that existed in Babylonia throughout its successive history until very recent times."
Ezra,1,7,The vessels,"All vessels listed are of gold and silver. Since many Temple objects taken by Nebuchadnezzar were of bronze (2 Kings 25:14; see on Ex. 25:3), Cyrus evidently restored only those that had been dedicated to Babylonian deities and thus preserved since their arrival from Jerusalem more than half a century earlier. It seems that objects not made of precious metals had not been preserved. This generous act on the part of Cyrus was not an isolated case. The king relates in the inscription of the afore-mentioned clay barrel in the British Museum (see on v. 2), that he returned to their rightful places many cult objects previously plundered by the Babylonians."
Ezra,1,8,Mithredath,"A Persian name that also appears as Mitradati in a cuneiform document of the time of Artaxerxes I. Treasurer. Heb. gizbar, “treasurer,” found only here and in ch. 7:21. Gizbar is a Persian loan word found also in Babylonia in the form, ganzabaru. The use of this and other words of Persian origin in the book of Ezra indicates that the original document was written in the time of the Persian Empire, probably by a contemporary of the events described. Sheshbazzar, the prince of Judah. Sheshbazzar, called “governor” in ch. 5:14, is identified by many scholars with Zerubbabel (see chs. 3:8; 5:16; EGW, RH, March 28, 1907). He is called a “prince of Judah,” a dignity that Zerubbabel, as a grandson of King Jehoiachin, also possessed (1 Chron. 3:17–19). It was not unusual for Jewish nobles in exile to bear two names (see Dan. 1:7). The name Sheshbazzar is thought to be from the Babylonian Shamash–abal–usur."
Ezra,1,9,Thirty,"It will be noted that the itemized list of Temple utensils given in vs. 9, 10 adds up to 2,499 rather than 5,400, the figure given in v. 11. It is possible that the itemized list is only partial, and that it was not intended by Ezra to add up to the total given. However, the last item on the list appears to include all other utensils not already listed, and should, presumably, make up the difference between the total of the preceding items and the grand total of all of them. All the ancient Hebrew MSS and versions agree with the figures as given in the KJV. It is worthy of note, however, that a parallel passage in the Apocryphal book of 1 Esdras (ch. 2:13, 14) avoids this seeming discrepancy by listing 1,000 “golden cups” instead of the 30 given here, and 2,410 “vials … of silver” instead of only 410, as in v. 10. Otherwise the figures are the same. The grand total as given in 1 Esdras 2:14 is 5,469, the sum of the figures for the various items as given there. Some have suggested that the figures in 1 Esdras were deliberately altered to avoid the seeming discrepancy in Ezra 1:9–11. All that can be said is that evidence is insufficient to provide a definite solution to the problem. Charges. Heb. ’agarṭelim, “baskets,” a word of uncertain meaning. The LXX, Vulgate, and Syriac offer the translation “basin,” which has been adopted by various modern versions. Knives. Heb. machalaph, a word found only here in the OT and of uncertain meaning. The context suggests that some sort of vessel is meant."
Ezra,1,10,Basons,"Heb. kaphor, “bowl,” or “bason,” as also in Ezra 8:27 and 1 Chron. 28:17. The related Akkadian word kaparu also means “bowl.”"
Ezra,1,11,All the vessels,"See on v. 7. Probably many of these “vessels” were among those that Belshazzar profaned at the feast the night Babylon fell (Dan. 5:3). The irreverent use of these sacred utensils and the defiant spirit that prompted such an act gave visible evidence of the fact that Babylon would no longer respond to divine messages of guidance and that it would refuse to release the Jewish captives in order that they might return to their homeland as God planned that they should (Dan. 5:1–4, 21–23). Accordingly, the kingdom passed to a nation that would cooperate with the divine plan (vs. 25–31). 1–4PK 558 2, 3 TM 203 5 PK 599 5–11PK 559"
Ezra,2,1,Children of the province,"While the city of Babylon was one of the capitals of the Persian Empire, and its land a satrapy under the administration of a satrap, Judah was a province. The use of this expression is evidence of the familiarity of the writer with the political situation of that time. Every one unto his city. Upon their return the exiles not only settled in Jerusalem but also in neighboring towns and villages, such as Jericho, Tekoa, Gibeon, Mizpah, and a number of others (see Neh. 3:2–19; 11:20–35)."
Ezra,2,2,Zerubbabel,"The political leader of the returning exiles. In ch. 3:2 and elsewhere he is called the son of Shealtiel. In 1 Chron. 3:19, however, he is listed among the sons of Pedaiah, a brother of Shealtiel. This seeming discrepancy can be explained by assuming a levirate marriage (see on Deut. 25:5–10) between Shealtiel’s childless widow and his brother Pedaiah, whose first male child by such a marriage would be considered the heir of Shealtiel (see on Matt. 1:12). Zerubbabel, though actually the son of Pedaiah, is called the son of Shealtiel in a majority of the passages that refer to him. The fact that in the only place where Zerubbabel is called Pedaiah’s son, Shealtiel appears without children, though older than his brother Pedaiah, supports the theory of a levirate marriage. Haggai (ch. 1:1) speaks of Zerubbabel, a grandson of King Jehoiachin, as governor of Judah. Cyrus thus appointed the descendant of a former king of Judah to rule in the name of the Persian king, a choice with which Cyrus could expect the Jews to be pleased. They would naturally accord more willing service to one of their own princes than to a foreigner. Jeshua. Yeshua‘ is the Aramaic form of the Hebrew name usually translated “Joshua.” This Jeshua was the spiritual leader of the returning exiles, the “high priest” of Haggai 1:1 and Zech. 3:1, and is referred to also in Ezra 3:2; Neh. 12:1; etc. He was a direct descendant of Aaron, through his father Jozadak, high priest at the time of Nebuchadnezzar’s captivity (1 Chron. 6:3–15; Ezra 3:2). Jeshua was probably born in exile, since he lived to see the completion of the Temple 20 years after the return to Jerusalem. Thus, two men of the old Jewish nobility led out in the restoration of Judah, one a descendant of the former reigning house as the appointed political leader, and the other a son of the last precaptivity high priest as spiritual head. Their names may have been suggested to Cyrus by a trusted counselor, such as Daniel, and both were no doubt chosen because of sterling character and because they enjoyed the confidence of their people. Nehemiah. The function of the other ten leaders here enumerated is unknown, inasmuch as their names do not appear again except in the duplicate list of Neh. 7. They may have been the elders mentioned frequently in later passages (see ch. 5:5, 9; etc.). The number of the men. The following list of exiles shows the importance attached by the Jews to ancestral lists. Though transported to Babylonia under the most miserable conditions imaginable, many had apparently succeeded in preserving their genealogical documents. Some, however, had not been so successful, and could not prove their pedigree. (v. 59). The numbers of persons in the various family groups here given differ slightly from those of a duplicate list Nehemiah used almost a century later to guide him in the resettlement of Jerusalem. Of the 42 numbers given by Ezra (vs. 3–60), 18 differ from the corresponding numbers in Neh. 7. The differences are small, and can be explained by assuming that the lists were drawn up at different times, and that during the interval the population figures varied, owing to deaths and births, or for other reasons."
Ezra,2,3,Children of Parosh,"Or, “sons of Parosh.” The large family unit of Parosh, with 2,172 men, stands first, as it does again in the corresponding list of Neh. 7. The name Parosh means “flea.” It is unknown how the family came to adopt this name, but it is a fact that Arab tribal heads frequently bear animal names such as lizard, gazelle, shrewmouse, etc. Similarly, a Jewish tribal head may have taken the name “flea,” a name David figuratively assumed after having spared Saul’s life at the cave of Engedi, expressing his own humility in Saul’s presence (1 Sam. 24:14; 26:20)."
Ezra,2,4,Shephatiah,"An old family, whose name means “Jehovah has judged.” This name appears frequently from the time of David onward."
Ezra,2,5,Arah,"This name, meaning “He has wandered,” is attested but once elsewhere, as that of a man of the tribe of Asher (1 Chron. 7:39). However, the name is found in Babylonian documents, and may have been adopted during the Exile."
Ezra,2,6,Pahath-moab,"The largest family unit, with 2,812 men. The name means “governor of Moab,” implying that a former family head had governed Moab when that country was subject to Judah."
Ezra,2,7,Elam,This name is attested in 1 Chron. 8:24; 26:3.
Ezra,2,8,Zattu,"Nothing is known of this or the following name, Zaccai (v. 9)."
Ezra,2,10,Bani,This name appears in Hebrew records since the time of David (2 Sam. 23:36).
Ezra,2,11,Bebai,A Babylonian name. This family was either newly founded or had exchanged its former name for a Babylonian one during the Exile.
Ezra,2,12,Azgad,"The name is found nowhere else. The greatest numerical difference in the lists of Ezra and Nehemiah occurs here, Ezra giving the number as 1,222, and Nehemiah (ch. 7:17) 2,322. A later copyist may be responsible for this seeming discrepancy."
Ezra,2,13,Adonikam,The name attested only here means “My Lord is risen.”
Ezra,2,14,Bigvai,"A Persian name; the Bagoas in Greek records. A Persian governor by that name ruled over Judah toward the end of the 5th century B.C. This large family of 2,056 men returning with Zerubbabel may have taken the name Bigvai in honor of the Persians. This family may have come from an area bordering on Persia, and may have favored Persian policy. The Jews have always been very adaptable."
Ezra,2,15,Adin,"The names in vs. 15–19 are all Hebrew, but the persons are otherwise unknown."
Ezra,2,20,Gibbar,"After the 17 tribal units enumerated in vs. 3–19, 15 groups follow, classified according to cities or villages. The location of Gibbar is unknown. Nehemiah’s list has Gibeon here (Neh. 7:25)."
Ezra,2,21,Beth-lehem,"In Judah, south of Jerusalem, now called Beit Laḥm."
Ezra,2,22,Netophah,"A town near Bethlehem whose exact location is unknown. It is also not clear why the people of Netophah, Anathoth, Michmas, Bethel, and Ai (vs. 23, 27, 28) are called “men,” and all others “children,” or “sons.”"
Ezra,2,23,Anathoth,"A Levitical city in Benjamin, now Râs el–Kharrûbeh near ‘Anāta, 3 mi. (4.8 km.) northeast of Jerusalem. It was formerly the home town of the prophet Jeremiah (Jer. 1:1). On the term “men,” see on v. 22."
Ezra,2,24,Azmaveth,"A town north of Anathoth, now called Ḥizmeh."
Ezra,2,25,Kirjath-arim,"Usually called Kirjath-jearim, now Tell el–Azhar, about 71/2 mi. (12 km.) west-northwest from Jerusalem. Chephirah. Now Tell Kefireh, north of Kirjath-jearim. Beeroth. On the road leading from Jerusalem to the north. Beeroth has been tentatively identified with Râs eṭ–Ṭahûneh, near Bethel."
Ezra,2,26,Ramah,"Probably er–Râm, 51/2 mi. (8.8 km.) north of Jerusalem. Gaba. Or, Geba, known today as Jeba‘, east of Ramah (see on 1 Sam. 13:3)."
Ezra,2,27,Michmas,"Now Mukhmâs, northeast of Gaba. On the term “men,” see on v. 22."
Ezra,2,28,Beth-el,"Now Beitîn. On the term “men,” see on v. 22. Ai. Ai has been identified with et–Tell east of Bethel, where excavations were carried on from 1933 to 1935. The identification is probably correct as regards postexilic Ai, although its correctness in regard to Joshua’s Ai is doubted (see on Joshua 7:2)."
Ezra,2,29,Nebo,"Now Nûba, near Aijalon, which lies about 12 mi. west-northwest of Jerusalem."
Ezra,2,30,Magbish,An unknown locality in central Palestine.
Ezra,2,31,The other Elam,"In view of the fact that an Elam is mentioned among the families (v. 7), it is uncertain whether a locality or a family is here designated."
Ezra,2,32,Harim,"This name has also been generally considered that of a tribal unit rather than of a locality. A personal name, Harimma’, appears in Babylonian records of the 5th century, indicating that this family was one of those that adopted foreign names during the Exile."
Ezra,2,33,"Lod, Hadid, and Ono","These three places lay 25 mi. (40 km.) northwest of Jerusalem. Lod is called Lydda in the NT, and now bears the name of Ludd. Hadid, now el–Hadîtheh, lay about 31/2 mi. (5.6 km.) east-northeast of Lod, while Ono, now Kefr ‘Ana, lay about 5 mi. (8 km.) north of Lod."
Ezra,2,34,Jericho,"This city lay in the Jordan valley and has generally been identified with Tell es–Sulṭân, adjoining modern Jericho (see Vol. I p. 124; Vol. II, p. 42)."
Ezra,2,35,Senaah,"It is interesting to find at the close of all nonecclesiastical families and city groups the largest unit of all—3,630 men—with the strange name “children of Senaah.” That this group is mentioned last may indicate that it was considered less important than the others. Because of its feminine ending the name has been thought to represent a town but that so large a town should have existed without ever being mentioned elsewhere would be most unusual. How could such a place have disappeared without leaving any trace of its former existence? For this reason some commentators consider it to be the name of a family unit. But if so, why should it be mentioned alone, at the end of a number of city groups, in spite of its great number? It therefore seems reasonable to consider that the 3,630 “children of Senaah” were a class of low-caste people, as Meyer and Kittel have suggested. The name Senaah appears also in variant forms in Neh. 11:9 and 1 Chron. 9:7. Settlements of the Persian Province of Judah According to Ezra and Nehemiah 2 The exact extent of the restored province of Judah is unknown. However, the cities and towns listed in Ezra and Nehemiah, plotted on a map, provide an approximate idea of the boundaries. Compare this territory with the area fortified by Rehoboam (see Invasion of Sennacherib) and with the kingdom of Hezekiah’s time (see The Province of Judah in Nehemiah’s Time). The bold lines represents the main highways through this area. Some think it possible that this name was given to people who could not prove their ancestry, and did not belong to a professional guild, such as the apothecaries or goldsmiths (Neh. 3:8, 31). They seem to have been men without an established place in society, with neither pedigree nor inherited rights. A common lot united them. They may not have fared well in Babylonia, and perhaps returned in great numbers with the hope of better opportunities in Palestine."
Ezra,2,36,The priests,"Of the priests, four families with a total of 4,289 men returned to Jerusalem, and three additional families that could not prove their eligibility (vs. 61–63). Three of the legitimate priestly families traced their descent back to persons who had been heads of priestly courses during the reign of David, namely Jedaiah, Immer, and Harim (1 Chron. 24:7, 8, 14). The other family originated from a certain Pashur, of whom 3 nothing further is known. No Biblical person who bore this name can have been the ancestor of this family. The four priestly families mentioned in this list of exiles were still the main representatives of the priesthood in Ezra’s time, 80 years later, when all four are mentioned in the list of those who had taken strange wives (Ezra 10:18–22)."
Ezra,2,40,The Levites,"It is surprising to find the lower ecclesiastical workers returning in such small numbers—only 74 Levites, 128 singers, 139 gatekeepers, and 392 other Temple servants—a total of 733 men as compared with more than 4,000 priests who returned. From the history of the kingdom of Judah we know that the Temple service had, at times, fallen into decay, and that many of the Temple personnel had been connected with the pagan high places (see on Judges 5:18) that had been established throughout the country. All of these were destroyed by Josiah as a part of his work of reform (2 Kings 23:5, 8, 13), and their priests taken to Jerusalem. But a place in the sanctuary and at the altar of the Temple was denied them, and they were apparently allowed to perform only the most menial tasks (see on 2 Kings 23:9). Ezekiel refers to the misconduct of the Temple personnel prior to the Exile, but the Zadok priests seem to have remained at least comparatively free from idolatry, and, in the service of the Temple shown him in vision, were to have served as priests. Their Levitical brethren were to be allowed to perform only menial duties in the new Temple. The Levites could thus not expect positions of honor, and most of them may therefore have preferred to remain in exile. Another possible reason for the small number of returning Levites may have been that relatively few of them had been taken into exile. Nebuchadnezzar at first deported only the higher officers, the nobility, and the armed forces. The Levites did not belong to any of these classes—at least not since the time of Josiah—and may therefore not have been deported in so great numbers as the priests. If but few Levites were in exile, the number of those returning would also be small."
Ezra,2,41,The singers,"A special class of Levites. Only one family is represented, that of Asaph, one of the leading musicians in the time of David (1 Chron. 6:39, 43; 16:5, 6). What had become of the descendants of the other musical directors mentioned in the titles of the Psalms and other Bible passages is not known."
Ezra,2,42,Porters,"Another profession known since the time of David. The Temple, with its many halls, gates, and courts, particularly upon the occasions of annual feasts, required a special police force to maintain order and security."
Ezra,2,43,The Nethinims,"The word thus translated is from the root nathan, “to give,” and means “given ones,” probably in the sense of being devoted, or dedicated to the sanctuary. Since the time of Joshua (Joshua 9:27), foreigners had been used for the most menial type of work in the Temple service. To this group of Temple servants prisoners of war may have been added from time to time (see Ezra 8:20). The returning Nethinims belonged to 35 families."
Ezra,2,55,Solomon’s servants,"King Solomon had apparently increased the service personnel of the Temple, inasmuch as the new buildings required much more attention (1 Kings 9:20, 21; 2 Chron. 8:7, 8). As the lowest rank of ecclesiastical workers, they are here mentioned last. They lived in separate towns, or in their own quarters in Jerusalem, and, though not Israelites, had agreed to keep the whole law (see Neh. 10:29–31). The Deuteronomic law required that they be considered a part of the congregation of Israel (Deut. 29:10–13; Ex. 20:10) and be treated as such. Ten families of “Solomon’s servants” returned with Zerubbabel."
Ezra,2,58,All the Nethinims,"The Nethinims (vs. 43–54) and “Solomon’s servants” (vs. 55– 57) were apparently so closely related in origin and work that their number is given as if they were one group. A total of 45 families is represented, averaging eight men each. It is thus apparent that their family units were, for some unknown reason, much smaller than those of the full-blooded Jews. Later, at the time of Ezra, 220 more Nethinims returned (ch. 8:20). Reports must have reached Babylonia that those who returned under Zerubbabel had found good positions in the Temple service, and many more became willing to sever their connections with Mesopotamia and return to Palestine."
Ezra,2,59,Tel-melah,"The locations of all four Mesopotamian places mentioned in this text are unknown. From these four places came 652 men (v. 60) belonging to three family groups which could not give proof that they were descendants of former Jews. If their forebears had been legitimate inhabitants of Judah at the time of Nebuchadnezzar, they may perhaps have received especially rough treatment, either during the journey to Babylonia or as slaves after their arrival, and had consequently lost all identifying documents (see on v. 2)."
Ezra,2,61,Priests,"Three returning families claimed to belong to the priesthood but were unable to present valid credentials. Admission to priestly office was denied them by the governor until a high priest would be able to procure a divine decision by means of the Urim and Thummim. It is strange that the number of these priests is not given either in this list or in that of Neh. 7. Koz. It is possible that this family was later able to establish its priestly rights, because we find a certain “Meremoth the son of Urijah, the son of Koz” taking part in the building of the city wall in Nehemiah’s time (Neh. 3:4, 21). Ezra (ch. 8:33) simply calls him “Meremoth the son of Uriah the priest.” The members of this family seem either to have found their credentials or to have secured other evidence that their ancestors were priests, or, the Urim and Thummim had revealed God’s will with respect to them."
Ezra,2,63,The Tirshatha,"From the Persian tarshta, an honorific title for the governor of a province, equivalent to “His Excellency.” Its literal meaning is, “the feared one.” Urim and … Thummim. See on Ex. 28:15, 30. Zerubbabel evidently anticipated that the power of obtaining direct answers from God by means of the Urim and Thummim, which had existed in pre-exilic times, would be restored as soon as the new congregation was re-established and the services of the Temple reinstituted. Whether his expectations were fulfilled is not known."
Ezra,2,64,The whole congregation,"The sum total of all the figures given in the preceding verses is 29,818, while the total number of returning exiles is given as 42,360. It is thus evident that besides the men enumerated in detail another 12,542 must have followed. Since the number 12,542 is too large for the three families of priests whose numbers were not given (see on v. 61), the suggestion that they were women must be considered a possible solution to the problem. Their relatively small number—in comparison with the number of returning men—can be explained by assuming that many men left their families with relatives in Babylonia until homes could be provided for them in Palestine. Presumably, the women were then to follow their husbands in a later caravan as soon as the situation in Palestine should make the trip advisable. Since, in the following verses, maidservants as well as menservants are counted, and female singers as well as their male colleagues, it seems certain that the wives of free citizens were not omitted from the count. Hence, we are to understand the 42,360 individuals listed as the total number of all returning citizens, men, women, and ecclesiastical personnel."
Ezra,2,65,Beside their servants,"After the enumeration of all Jews and also of those who claimed to belong to the congregation, 7,337 male and female slaves are mentioned. That they were not Jews is evident not only from their social position but also from the place they receive in this list—after the total of the “whole congregation” has been presented. It is surprising to find that in the 50 years of their captivity some of the Jews had improved their social standing to the extent that they had acquired slaves—one to every sixth Jew. Singing men and singing women. Some have thought that these non-Jewish artists were to swell the comparatively small number of Levitical singers (see on v. 41). This is, however, unlikely. Some commentators consider them secular entertainers. When the Israelites left Egypt about 1,000 years earlier a “mixed multitude” of non-Israelites also went up with them (Ex. 12:38), and in the wilderness became a cause of much trouble (Num. 11:4). It would not be surprising to find that in leaving Babylonia the Jews were accompanied by a similar group."
Ezra,2,66,Their horses,"A total number of 8,136 riding animals and beasts of burden is listed as accompanying the expedition. Since the group desired to travel rapidly, the returning group took no sheep, goats, or cattle. Those who possessed such animals in Babylonia probably sold them and took the money with them."
Ezra,2,68,When they came,"The writer passes over the journey in silence (see on Gen. 24:7, 62), though it must have taken several weeks. The route is not mentioned, although the topography of the Near East leaves few uncertainties in this respect (see on Gen. 12:5). The caravan probably followed the banks of the Euphrates up to the 36th parallel, or went through the former homeland of Assyria to Arbela, and then followed the approximate course of the present Syro-Turkish border till they reached the Euphrates. From there, the desert between the Euphrates and the Orontes River was crossed, with the Aleppo oasis as a stopping place, midway across the desert. Reaching the Orontes, they probably followed this river up to its source, and then marched through the Beqa‘, the valley between the Lebanon and Anti-Lebanon mountain ranges, until they reached the upper course of the Jordan, and so entered Palestine. This was the route that most military forces of the Assyrians and Babylonians had taken in the past and that the captive parents and grandparents of this group apparently traversed in the opposite direction half a century earlier (see Jer. 39:5–7; 52:9, 10, 27). The time of departure was probably the spring of 536 B.C. (see on ch. 1:1), and perhaps Jerusalem was reached in the summer of the same year. Eighty years later it took Ezra and his caravan almost four months to reach Jerusalem (chs. 7:8, 9; 8:31), and it is reasonable to think that Zerubbabel’s journey lasted as long as that of Ezra. Offered freely. Arriving at the site of the former Temple, the members of the expedition conducted a thanksgiving service in which the heads of families and the people offered gifts for the planned reconstruction of the Temple building to the sum of 61,000 drams of gold and 5,000 silver minas. This was a most remarkable sum for a group of people who had but recently regained liberty. A spirit of liberality must have taken hold of them like that which gripped the people at the building of the tabernacle at Sinai (see Ex. 36:5–7). They knew how God had fulfilled His promises through the prophets, and were willing to make a sacrifice to re-establish the Temple and its service. God has ever provided His people with opportunities to give of the means entrusted to them. There is no better cure for the spirit of selfishness that naturally infects the human heart than to respond “freely” to calls to advance the cause of God in the earth and to help their fellow men. Those who truly love God will cultivate the spirit of liberality (see 2 Cor. 9:6, 7). 64, 65 PK 598 64–70PK 560"
Ezra,3,1,The seventh month,"Shortly after their arrival in Palestine, probably in the summer of 536 B.C., the newly returned exiles assembled at Jerusalem to inaugurate the new Temple service. This gathering took place at the end of the 6th month, as a comparison of v. 1 with v. 6 shows. The 7th month (Tishri) was one of the most sacred months of the entire Jewish religious year. The 1st day of that month was New Year’s Day of the civil calendar (see Vol. II, p. 110). The month began with a blowing of trumpets and a holy convocation (Lev. 23:24; see Vol. II, p. 106). Ten days later came the solemn Day of Atonement (Lev. 23:27), followed almost immediately by the Feast of Tabernacles, from the 15th to the 22d day of the same month (Lev. 23:34–36). The people gathered. The people were prepared to stay long enough to celebrate the Feast of Tabernacles (v. 4), one of the three great feasts every Jew was required to observe in Jerusalem (Ex. 23:14; Lev. 23:2; Deut. 16:16)."
Ezra,3,2,Jeshua,"Concerning Jeshua and Zerubbabel, see on ch. 2:2. Builded the altar. The old Temple area must have been surveyed, and the place ascertained where the altar of burnt offering had originally been located. On that sacred spot a new altar was built. The altar was the center of Jewish worship, and services could not be carried on without it. The altar must have been completed by the last day of the 6th month (see v. 6). As it is written. Under the leadership of men like Daniel and Ezekiel the exiles had determined to start from the beginning to worship God according to His expressed will, and not again fall into the sins of indifference and idolatry, on account of which they and their fathers had had to suffer so much. Reference is probably here made to Lev. 17:2–6 and Deut. 12:5–7, where God explicitly commands the Israelites to offer their sacrifices only at the place He would select for that purpose. That place was Jerusalem (1 Kings 9:3)."
Ezra,3,3,His bases,"Rather, “its place” (RSV), meaning that the altar was erected on the exact spot where Solomon’s altar of burnt offering had stood. Fear was upon them. Although the people had but recently returned from Babylonia, they were already aware of the hostility of their neighbors, who were not a little displeased that the Jews had now returned to their homeland. The surrounding people may have occupied some parts of Judea during the Exile, and were now asked to return these to their rightful owners. Naturally, they looked with suspicion upon the Jews, who made it plain that henceforth no other worship than that of Jehovah would be tolerated. This hostility may already have been revealed in threats. Hence, the returning exiles assembled in Jerusalem in a state of fear. Though they had permission from Cyrus to raise up both their altar and their Temple, it was not at all certain that this could be accomplished without encountering serious opposition from the neighboring peoples. Cyrus had only recently come into possession of these areas, which had belonged to the Babylonian Empire, and he may have exercised only nominal control over them. Burnt offerings. As the law required (Ex. 29:38, 39; Num. 28:3, 4)."
